epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,91.941,1.63311,7.55118,0.00702,0.58312,0.65172,0.63788,0.36838,1.24393,5.47507,0.0055,0.00998249,0.0033275,0.00998249,0.0033275,0.00998249,0.0033275,0.00998249,0.0033275
2,177.242,1.55934,1.85725,0.00641,0.69637,0.77597,0.83864,0.45969,1.31459,1.48534,0.00607,0.0198506,0.00661687,0.0198506,0.00661687,0.0198506,0.00661687,0.0198506,0.00661687
3,259.218,1.5868,1.4584,0.00662,0.61829,0.62689,0.65392,0.34137,1.41942,1.56367,0.00738,0.0295867,0.00986224,0.0295867,0.00986224,0.0295867,0.00986224,0.0295867,0.00986224
4,340.556,1.66311,1.39765,0.00701,0.81437,0.79721,0.87994,0.51016,1.25954,1.08397,0.00582,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,422.616,1.61215,1.26057,0.00687,0.86835,0.84357,0.91619,0.54277,1.2613,0.66304,0.00589,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,504.92,1.57243,1.13167,0.00655,0.82787,0.82146,0.91337,0.53571,1.22442,0.67771,0.00578,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,586.554,1.58847,1.07754,0.00671,0.84733,0.85121,0.90506,0.5345,1.19535,0.7237,0.00573,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,678.345,1.55933,1.0133,0.00647,0.88117,0.88748,0.9485,0.58472,1.16127,0.61786,0.0056,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,761.764,1.52135,0.96506,0.00627,0.87239,0.86209,0.93715,0.56835,1.20988,0.56685,0.00572,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,845.517,1.52709,0.95238,0.00632,0.88095,0.87294,0.95265,0.58769,1.14715,0.55117,0.00525,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,929.151,1.4936,0.90888,0.00604,0.88833,0.87752,0.95487,0.58549,1.20774,0.57938,0.00564,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1012.59,1.4912,0.87636,0.00608,0.86729,0.88356,0.94351,0.57946,1.15237,0.50517,0.00522,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1097.58,1.47122,0.87226,0.00591,0.88751,0.92658,0.95401,0.59959,1.11168,0.48356,0.00508,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1180.78,1.4661,0.82071,0.00592,0.87289,0.90248,0.93773,0.59551,1.1406,0.49683,0.00548,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1264.58,1.47064,0.79139,0.00594,0.90021,0.89868,0.9632,0.60358,1.15118,0.48621,0.00531,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,1346.11,1.44877,0.79981,0.00578,0.9147,0.92122,0.9678,0.62296,1.11208,0.41544,0.00519,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1428.75,1.43593,0.74847,0.00574,0.93558,0.89828,0.96572,0.59986,1.16214,0.43317,0.00538,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1512.93,1.42985,0.73156,0.00578,0.90441,0.93253,0.9708,0.63206,1.08865,0.42711,0.00494,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1599.66,1.42069,0.74273,0.00569,0.89871,0.94778,0.97368,0.63085,1.07069,0.42178,0.00489,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,1687.76,1.4324,0.73687,0.00579,0.91958,0.9224,0.96731,0.62607,1.10812,0.41245,0.00506,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,1773.7,1.41741,0.69697,0.00566,0.90613,0.93077,0.97293,0.63342,1.0964,0.4449,0.00506,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,1857.59,1.39943,0.69732,0.00557,0.92275,0.94912,0.97885,0.62048,1.14892,0.40242,0.00517,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,1942.41,1.40203,0.7008,0.00556,0.92119,0.93113,0.97726,0.62183,1.09029,0.394,0.00483,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,2027.81,1.38926,0.68587,0.00556,0.9282,0.95527,0.97778,0.62881,1.07604,0.39536,0.00486,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,2110.11,1.38317,0.65561,0.00552,0.92365,0.95498,0.9783,0.63857,1.09147,0.38897,0.005,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,2193.1,1.3799,0.65435,0.00543,0.93004,0.94879,0.97637,0.63259,1.08926,0.36601,0.00496,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,2277.05,1.3655,0.67148,0.00539,0.91163,0.93607,0.97288,0.63606,1.06808,0.40745,0.00484,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,2360.5,1.37286,0.65993,0.00536,0.92348,0.92064,0.97595,0.63515,1.07869,0.39803,0.00489,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,2443.36,1.37545,0.64298,0.00539,0.93743,0.9524,0.97979,0.63983,1.07491,0.37857,0.00488,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,2529.6,1.36393,0.63558,0.00534,0.92292,0.94238,0.97524,0.64038,1.05456,0.4,0.0048,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,2616.41,1.35528,0.62282,0.00533,0.93128,0.94542,0.97779,0.64156,1.05731,0.38196,0.0048,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,2702.18,1.3467,0.63894,0.00525,0.92372,0.95671,0.97967,0.64658,1.07978,0.35487,0.00492,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,2786.2,1.3512,0.61653,0.00522,0.93207,0.9576,0.98076,0.64383,1.06008,0.35868,0.00491,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,2879.98,1.35281,0.642,0.00531,0.921,0.94931,0.97801,0.64544,1.09028,0.38636,0.00488,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,2963.87,1.3423,0.63084,0.00533,0.93488,0.95871,0.98013,0.64087,1.07145,0.35285,0.00488,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,3049.66,1.33193,0.60693,0.00521,0.9307,0.96254,0.9794,0.64195,1.06855,0.3528,0.00485,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,3134.01,1.33523,0.60826,0.00521,0.94358,0.94844,0.97894,0.64606,1.07478,0.37234,0.00481,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,3216.47,1.34118,0.61056,0.0053,0.93407,0.95893,0.98215,0.65275,1.07281,0.35681,0.00478,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,3299.92,1.3321,0.60342,0.00524,0.92112,0.96628,0.97876,0.65009,1.03875,0.33644,0.00474,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,3383.64,1.3173,0.56851,0.00508,0.93254,0.97233,0.9822,0.64428,1.06196,0.32323,0.0047,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,3468.3,1.31317,0.57991,0.00515,0.95251,0.94537,0.98269,0.65361,1.03733,0.33459,0.00467,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,3551.51,1.30134,0.5577,0.00503,0.94129,0.96352,0.98475,0.64861,1.05545,0.32949,0.00478,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,3642.98,1.30098,0.5614,0.00507,0.94404,0.96587,0.98434,0.64312,1.0571,0.32632,0.00463,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,3726.65,1.3058,0.56797,0.00517,0.93372,0.96168,0.98187,0.65197,1.04531,0.36498,0.00474,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,3814.99,1.29567,0.56022,0.00505,0.94794,0.95228,0.98214,0.64988,1.05785,0.34626,0.00471,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,3899.71,1.30627,0.56859,0.00498,0.95922,0.94316,0.98438,0.66272,1.04695,0.31368,0.00477,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,3984.37,1.29142,0.575,0.00502,0.95421,0.94834,0.98372,0.6565,1.04394,0.33501,0.00465,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,4069.45,1.2909,0.56418,0.00502,0.92625,0.97054,0.98335,0.66242,1.03171,0.33677,0.00464,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,4155.21,1.28886,0.56676,0.00501,0.94209,0.96496,0.98378,0.66338,1.02206,0.31899,0.00462,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,4246.61,1.2918,0.55411,0.00502,0.93769,0.96091,0.98463,0.65755,1.0216,0.31869,0.00464,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,4333.06,1.27281,0.54153,0.005,0.95649,0.94599,0.98417,0.65804,1.0274,0.32762,0.00455,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,4419.1,1.28704,0.55559,0.00501,0.92892,0.96742,0.98322,0.66566,1.03556,0.32412,0.00464,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,4505.49,1.25377,0.54216,0.00486,0.93754,0.97761,0.98533,0.66651,1.02546,0.30003,0.00456,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,4590.59,1.27536,0.53413,0.00501,0.9517,0.96072,0.98454,0.66597,1.01979,0.31701,0.00452,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,4675.71,1.26924,0.55377,0.00493,0.95066,0.95848,0.98336,0.66651,1.01975,0.33722,0.00455,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,4759.89,1.26191,0.55226,0.00488,0.91928,0.97139,0.98312,0.66231,1.01685,0.32225,0.00451,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,4845.92,1.26525,0.53848,0.00494,0.94496,0.97643,0.98668,0.66469,1.01911,0.30834,0.00446,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,4930.9,1.25941,0.53827,0.00487,0.95569,0.95095,0.98314,0.66072,1.01518,0.3172,0.00453,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,5014.79,1.2513,0.52285,0.00485,0.93817,0.9775,0.98685,0.66822,1.0131,0.30222,0.00453,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,5101.08,1.24158,0.51671,0.00478,0.95206,0.98322,0.98542,0.66515,1.00717,0.30163,0.00447,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,5187.5,1.24091,0.51814,0.00476,0.95216,0.96586,0.9853,0.66607,1.02066,0.30462,0.00459,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,5273.53,1.24699,0.51354,0.00485,0.94477,0.95584,0.98473,0.67009,1.00124,0.30882,0.00445,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,5357.38,1.23781,0.50534,0.00482,0.94823,0.95969,0.9845,0.66602,1.00702,0.30905,0.00448,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,5440.52,1.24917,0.52175,0.00486,0.94293,0.9721,0.98488,0.66341,1.0192,0.2974,0.00453,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,5527.59,1.23871,0.50963,0.0048,0.93996,0.96474,0.98217,0.66341,1.01348,0.3194,0.00453,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,5615.06,1.2461,0.51646,0.00491,0.9269,0.97639,0.98247,0.668,1.01147,0.32314,0.00448,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,5703.36,1.23139,0.50269,0.00475,0.97069,0.94411,0.9837,0.66518,1.00911,0.30717,0.00452,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,5789.63,1.23042,0.49191,0.00475,0.94729,0.97121,0.98666,0.66661,1.00963,0.30781,0.0045,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,5877.4,1.22162,0.49278,0.0047,0.95591,0.95835,0.98639,0.67055,1.02594,0.3107,0.00456,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,5979.51,1.20576,0.47459,0.00467,0.95379,0.96017,0.98582,0.66523,1.0152,0.3087,0.00452,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,6067.01,1.20204,0.50363,0.00461,0.9545,0.96763,0.98615,0.6668,1.01485,0.30281,0.00451,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,6152.8,1.21509,0.49544,0.00479,0.93885,0.9679,0.98673,0.66388,1.01301,0.29712,0.00447,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,6241.2,1.20554,0.48751,0.00461,0.96183,0.94919,0.9872,0.66689,1.02643,0.30827,0.00458,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,6324.85,1.20085,0.47202,0.00454,0.95003,0.96691,0.98755,0.66574,1.02369,0.29589,0.00455,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,6409.64,1.19489,0.47516,0.00457,0.95795,0.96452,0.98886,0.66972,1.02087,0.2937,0.00455,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,6495.03,1.20652,0.48009,0.00465,0.96127,0.97768,0.98716,0.6636,1.01557,0.29148,0.0045,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,6579.4,1.20388,0.47394,0.00463,0.95253,0.97831,0.98624,0.6616,1.01185,0.29806,0.00447,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,6662.97,1.1871,0.47307,0.00454,0.95246,0.97222,0.9855,0.66505,1.01293,0.30454,0.00448,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,6745.61,1.20163,0.4777,0.00457,0.95525,0.96743,0.98606,0.66678,1.02294,0.30268,0.00454,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,6828.88,1.19375,0.48155,0.00462,0.94726,0.96217,0.98593,0.66669,1.01176,0.30234,0.00445,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,6911.86,1.17657,0.4716,0.00451,0.94968,0.95765,0.98333,0.66594,1.01791,0.30209,0.00448,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,6995.44,1.17766,0.4569,0.00452,0.9426,0.9716,0.98686,0.66786,1.01365,0.29628,0.00447,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,7079.4,1.17983,0.46281,0.00454,0.95188,0.95723,0.986,0.66595,1.01351,0.29462,0.00447,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,7161.52,1.16594,0.45013,0.00446,0.9509,0.97041,0.98627,0.66387,1.00493,0.2911,0.00443,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
