epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0971,1.55494,9.25701,0.00681,0.5226,0.63343,0.58117,0.34406,1.0746,7.71986,0.00533,0.000555099,0.000555099,0.000555099
2,145.88,1.52342,2.409,0.00647,0.64397,0.71773,0.7572,0.41907,1.11261,2.41726,0.00538,0.00108877,0.00108877,0.00108877
3,217.583,1.54757,1.57808,0.00662,0.63141,0.76347,0.7761,0.44929,1.07544,1.36278,0.00509,0.00160044,0.00160044,0.00160044
4,290.431,1.55778,1.45402,0.00669,0.72208,0.7824,0.83678,0.4872,1.09764,0.94588,0.00526,0.00156798,0.00156798,0.00156798
5,361.797,1.52878,1.3036,0.00648,0.81604,0.83755,0.8914,0.53843,1.07821,0.84763,0.00497,0.00153497,0.00153497,0.00153497
6,433.011,1.49487,1.15633,0.00623,0.84947,0.80227,0.90377,0.53147,1.12577,0.65723,0.00562,0.00150197,0.00150197,0.00150197
7,504.288,1.47397,1.05183,0.00611,0.85317,0.86466,0.93231,0.56126,1.08877,0.58935,0.00521,0.00146896,0.00146896,0.00146896
8,575.688,1.48755,1.03042,0.00618,0.87844,0.8403,0.93379,0.54648,1.06841,0.55312,0.00498,0.00143595,0.00143595,0.00143595
9,647.049,1.46148,0.9759,0.00607,0.87505,0.87852,0.94449,0.57688,1.02463,0.49522,0.00478,0.00140295,0.00140295,0.00140295
10,718.453,1.43309,0.9531,0.00597,0.85706,0.87393,0.94177,0.58495,1.02563,0.50441,0.00476,0.00136994,0.00136994,0.00136994
11,789.829,1.42873,0.92443,0.00582,0.88309,0.88283,0.95321,0.59568,1.06092,0.534,0.00499,0.00133693,0.00133693,0.00133693
12,861.233,1.42032,0.87895,0.00573,0.85281,0.90939,0.94766,0.59802,1.0201,0.5026,0.00479,0.00130393,0.00130393,0.00130393
13,932.682,1.4119,0.86623,0.00572,0.8797,0.90878,0.95407,0.59184,1.08136,0.47936,0.00534,0.00127092,0.00127092,0.00127092
14,1004.09,1.38812,0.82352,0.00558,0.88896,0.89823,0.95604,0.60414,1.01336,0.44629,0.00463,0.00123791,0.00123791,0.00123791
15,1075.68,1.391,0.77864,0.00562,0.91202,0.93127,0.97212,0.62858,0.97499,0.3991,0.00438,0.00120491,0.00120491,0.00120491
16,1147.13,1.36455,0.76225,0.00551,0.88195,0.93314,0.96874,0.6205,0.99166,0.39046,0.00457,0.0011719,0.0011719,0.0011719
17,1218.65,1.36026,0.76409,0.0055,0.92126,0.91966,0.97383,0.6199,1.00592,0.37035,0.00458,0.00113889,0.00113889,0.00113889
18,1290.2,1.35904,0.76226,0.00549,0.91262,0.93912,0.97273,0.61548,0.98427,0.38214,0.00445,0.00110589,0.00110589,0.00110589
19,1361.64,1.36031,0.73441,0.00546,0.94132,0.93506,0.97581,0.61758,1.01962,0.36635,0.00458,0.00107288,0.00107288,0.00107288
20,1433.13,1.34281,0.71245,0.00532,0.92258,0.92442,0.97235,0.61788,0.98178,0.38764,0.00444,0.00103987,0.00103987,0.00103987
21,1504.58,1.32832,0.69045,0.00532,0.90637,0.92623,0.97166,0.6249,0.96732,0.39721,0.00431,0.00100687,0.00100687,0.00100687
22,1575.92,1.3261,0.68551,0.00542,0.91548,0.93683,0.97418,0.62594,0.99602,0.36447,0.00451,0.000973861,0.000973861,0.000973861
23,1647.32,1.32229,0.68807,0.00535,0.91473,0.92411,0.9727,0.62451,0.9755,0.38024,0.00437,0.000940855,0.000940855,0.000940855
24,1718.64,1.31688,0.6876,0.00537,0.93027,0.91996,0.97496,0.62906,0.97711,0.35286,0.00449,0.000907848,0.000907848,0.000907848
25,1789.98,1.28915,0.65339,0.00514,0.92834,0.93416,0.97945,0.63864,0.96206,0.35548,0.00435,0.000874842,0.000874842,0.000874842
26,1861.43,1.28548,0.65461,0.0051,0.91765,0.95469,0.97899,0.64014,0.95483,0.34926,0.00425,0.000841835,0.000841835,0.000841835
27,1933.24,1.27831,0.6329,0.00504,0.93764,0.95099,0.98237,0.64831,0.944,0.30676,0.00437,0.000808828,0.000808828,0.000808828
28,2004.75,1.30264,0.62358,0.00521,0.93931,0.94337,0.98013,0.63769,0.96521,0.33823,0.0044,0.000775822,0.000775822,0.000775822
29,2076.2,1.26986,0.60425,0.00505,0.9438,0.93862,0.98072,0.64868,0.94916,0.32801,0.0043,0.000742815,0.000742815,0.000742815
30,2148.17,1.26647,0.60397,0.00501,0.93865,0.9489,0.98133,0.6597,0.93626,0.31027,0.00422,0.000709809,0.000709809,0.000709809
31,2219.63,1.25787,0.61477,0.00502,0.94386,0.91899,0.98018,0.63728,0.97132,0.32849,0.0045,0.000676802,0.000676802,0.000676802
32,2291.13,1.26138,0.61454,0.00495,0.94257,0.94859,0.98289,0.63948,0.96224,0.32159,0.00425,0.000643795,0.000643795,0.000643795
33,2362.69,1.24064,0.58314,0.0049,0.95666,0.94758,0.98448,0.65489,0.93251,0.29252,0.00426,0.000610789,0.000610789,0.000610789
34,2434.13,1.25154,0.58948,0.00486,0.95921,0.9573,0.98497,0.65655,0.94036,0.30665,0.00426,0.000577782,0.000577782,0.000577782
35,2505.68,1.23273,0.57235,0.00496,0.95111,0.95224,0.98271,0.65363,0.92949,0.29908,0.0042,0.000544776,0.000544776,0.000544776
36,2577.17,1.21412,0.55222,0.00477,0.94973,0.95839,0.98372,0.65323,0.92465,0.29856,0.00421,0.000511769,0.000511769,0.000511769
37,2648.87,1.23039,0.54876,0.00482,0.94421,0.96839,0.98489,0.65446,0.93581,0.29878,0.00418,0.000478762,0.000478762,0.000478762
38,2720.48,1.19435,0.53387,0.00471,0.95063,0.96279,0.98314,0.65382,0.92463,0.29669,0.00419,0.000445756,0.000445756,0.000445756
39,2793.23,1.20306,0.53938,0.00481,0.95771,0.94064,0.98295,0.6507,0.9255,0.30364,0.00417,0.000412749,0.000412749,0.000412749
40,2866.88,1.20536,0.5228,0.00475,0.94475,0.9643,0.9835,0.65592,0.91137,0.30776,0.00408,0.000379743,0.000379743,0.000379743
41,2939.68,1.12171,0.39931,0.00518,0.96987,0.95581,0.98373,0.65206,0.92577,0.29491,0.00414,0.000346736,0.000346736,0.000346736
42,3011.16,1.12504,0.39044,0.0053,0.96816,0.95312,0.9849,0.65084,0.94228,0.28832,0.00416,0.000313729,0.000313729,0.000313729
